Year,"Cancer Index (2=Female Breast Cancer, 3=Prostate Cancer, 4=Lung Cancer)","Measurement (1=Incidence Rate, 2=Death Rate, 3=Incidence Count, 4=Death Count)",Measurement,All Races Rate,All Races LCI,All Races UCI,White Rate,White LCI,White UCI,Black Rate,Black LCI,Black UCI,Asian/Pacific Islander Rate,Asian/Pacific Islander LCI,Asian/Pacific Islander UCI,American Indian/Alaska Native Rate,American Indian/Alaska Native LCI,American Indian/Alaska Native UCI,Hispanic Rate,Hispanic LCI,Hispanic UCI
2009,4,3,4,232009,200329,24651,4989,1157,9451,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,3,4,229190,197395,24558,5108,1236,9508,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,3,4,227074,195372,24436,5207,1209,9749,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,3,4,229064,196551,24874,5438,1210,9765,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,3,4,228108,195297,24488,5756,1251,10271,0,0,0,0,0,0,0,0,0,0,0,0
1999,3,3,4,196642,167492,22855,2941,640,10109,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,3,4,202779,171780,24406,3125,616,10872,0,0,0,0,0,0,0,0,0,0,0,0
2001,3,3,4,211799,179131,25309,3447,698,11443,0,0,0,0,0,0,0,0,0,0,0,0
2002,3,3,4,213791,180484,25430,3565,812,12442,0,0,0,0,0,0,0,0,0,0,0,0
2003,3,3,4,212174,176195,27615,3616,789,12342,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,3,4,211594,175040,27869,3858,821,12598,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,3,4,213583,176189,28276,3775,828,12877,0,0,0,0,0,0,0,0,0,0,0,0
2006,3,3,4,232422,191749,30110,4150,873,13998,0,0,0,0,0,0,0,0,0,0,0,0
2007,3,3,4,246600,201797,32397,4540,921,15012,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,3,4,235772,191510,32172,4383,930,15440,0,0,0,0,0,0,0,0,0,0,0,0
2009,3,3,4,230975,185137,33169,4471,967,15868,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,3,4,222947,177387,32127,4428,953,15242,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,3,4,225845,179072,32921,4727,907,15258,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,3,4,192577,150900,29498,4047,860,14067,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,3,4,186509,145637,28677,4079,855,14014,0,0,0,0,0,0,0,0,0,0,0,0
1999,2,3,4,187961,165628,16274,4156,680,9755,0,0,0,0,0,0,0,0,0,0,0,0
2000,2,3,4,187771,165012,16368,4279,697,10454,0,0,0,0,0,0,0,0,0,0,0,0
2001,2,3,4,192490,168840,16912,4614,785,10665,0,0,0,0,0,0,0,0,0,0,0,0
2002,2,3,4,190899,166379,17448,4936,813,11114,0,0,0,0,0,0,0,0,0,0,0,0
2003,2,3,4,194943,167773,19707,5068,857,11398,0,0,0,0,0,0,0,0,0,0,0,0
2004,2,3,4,195917,167999,20249,5442,853,11893,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,3,4,198896,170148,20631,5719,871,12920,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,3,4,203372,173228,21610,5982,919,13391,0,0,0,0,0,0,0,0,0,0,0,0
2007,2,3,4,209684,177642,22736,6392,1052,14059,0,0,0,0,0,0,0,0,0,0,0,0
2008,2,3,4,215134,181837,23460,6969,1004,14948,0,0,0,0,0,0,0,0,0,0,0,0
2009,2,3,4,220659,186159,24512,7067,1024,15671,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,3,4,217138,181897,24634,7681,1064,15484,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,3,4,222897,186101,25716,8021,1198,16701,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,3,4,225974,188222,25921,8427,1170,17140,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,3,4,230815,191077,26854,8914,1272,18066,0,0,0,0,0,0,0,0,0,0,0,0
1999,4,3,5,181344,160267,17293,2728,620,6023,0,0,0,0,0,0,0,0,0,0,0,0
2000,4,3,5,182368,161087,17103,3026,681,5986,0,0,0,0,0,0,0,0,0,0,0,0
2001,4,3,5,187640,165582,17754,3090,747,6397,0,0,0,0,0,0,0,0,0,0,0,0
2002,4,3,5,189711,167381,17838,3229,777,6614,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,3,5,204916,179414,20567,3567,832,6979,0,0,0,0,0,0,0,0,0,0,0,0
2004,4,3,5,206092,180085,20827,3692,921,7251,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,3,5,210417,183629,21257,3937,958,7436,0,0,0,0,0,0,0,0,0,0,0,0
2006,4,3,5,211391,184537,21276,4039,946,7624,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,3,5,212996,185448,21575,4261,987,8007,0,0,0,0,0,0,0,0,0,0,0,0
2008,4,3,5,215873,187798,21808,4438,1102,8282,0,0,0,0,0,0,0,0,0,0,0,0
2009,4,3,5,216363,187220,22551,4724,1075,8443,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,3,5,213495,184277,22478,4835,1158,8459,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,3,5,211753,182576,22421,4917,1115,8718,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,3,5,213764,183769,22854,5158,1134,8747,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,3,5,212584,182352,22489,5446,1175,9135,0,0,0,0,0,0,0,0,0,0,0,0
1999,3,3,5,188359,159815,22561,2814,578,9271,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,3,5,194363,164006,24067,2980,571,10011,0,0,0,0,0,0,0,0,0,0,0,0
2001,3,3,5,203200,171158,24983,3310,653,10483,0,0,0,0,0,0,0,0,0,0,0,0
2002,3,3,5,205351,172692,25088,3445,735,11488,0,0,0,0,0,0,0,0,0,0,0,0
2003,3,3,5,202989,167726,27235,3497,730,11222,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,3,5,202357,166502,27524,3704,760,11496,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,3,5,204078,167476,27889,3598,756,11687,0,0,0,0,0,0,0,0,0,0,0,0
2006,3,3,5,223133,183299,29711,3974,789,12704,0,0,0,0,0,0,0,0,0,0,0,0
2007,3,3,5,237055,193090,31996,4354,860,13689,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,3,5,225849,182466,31744,4210,845,13999,0,0,0,0,0,0,0,0,0,0,0,0
2009,3,3,5,221295,176335,32761,4264,885,14361,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,3,5,213086,168451,31705,4224,875,13723,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,3,5,216106,170310,32447,4509,828,13795,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,3,5,182658,142041,29007,3827,778,12529,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,3,5,176450,136604,28208,3853,762,12409,0,0,0,0,0,0,0,0,0,0,0,0
1999,4,4,2,549829,477231,61950,8812,1836,20233,0,0,0,0,0,0,0,0,0,0,0,0
2000,4,4,2,553080,480004,61942,9220,1914,21160,0,0,0,0,0,0,0,0,0,0,0,0
2001,4,4,2,553760,479647,62166,9792,2155,22371,0,0,0,0,0,0,0,0,0,0,0,0
2002,4,4,2,557264,482477,62614,9998,2175,23141,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,4,2,556890,481545,62660,10531,2154,24069,0,0,0,0,0,0,0,0,0,0,0,0
2004,4,4,2,553880,478128,62497,10863,2392,24519,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,4,2,559303,482127,63161,11550,2465,26154,0,0,0,0,0,0,0,0,0,0,0,0
2006,4,4,2,559880,482569,63081,11783,2447,26633,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,4,2,562867,483935,64045,12326,2561,27660,0,0,0,0,0,0,0,0,0,0,0,0
2008,4,4,2,565460,485886,63952,12895,2727,28850,0,0,0,0,0,0,0,0,0,0,0,0
2009,4,4,2,567614,486987,64645,13272,2710,29935,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,4,2,574738,491682,65929,14165,2962,31119,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,4,2,576685,492345,66817,14713,2810,32380,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,4,2,582607,496876,67374,15339,3018,34146,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,4,2,584872,498108,67952,15703,3109,35147,0,0,0,0,0,0,0,0,0,0,0,0
1999,3,4,2,285826,247392,32849,4636,949,10668,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,4,2,286072,247396,32815,4864,997,11138,0,0,0,0,0,0,0,0,0,0,0,0
2001,3,4,2,287068,248142,32676,5147,1103,11825,0,0,0,0,0,0,0,0,0,0,0,0
2002,3,4,2,288763,249864,32625,5193,1081,12235,0,0,0,0,0,0,0,0,0,0,0,0
2003,3,4,2,287982,249045,32442,5403,1092,12671,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,4,2,286824,247446,32441,5696,1241,12999,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,4,2,290417,250475,32724,5921,1297,13896,0,0,0,0,0,0,0,0,0,0,0,0
2006,3,4,2,290064,250318,32555,5974,1217,13856,0,0,0,0,0,0,0,0,0,0,0,0
2007,3,4,2,292853,252047,33067,6394,1345,14493,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,4,2,295253,254119,33018,6664,1452,15282,0,0,0,0,0,0,0,0,0,0,0,0
2009,3,4,2,296758,255040,33441,6896,1381,15772,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,4,2,301032,258268,33966,7210,1588,16450,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,4,2,302228,259321,33977,7444,1486,17184,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,4,2,305661,261970,34424,7709,1558,17848,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,4,2,307553,263162,34670,8071,1650,18371,0,0,0,0,0,0,0,0,0,0,0,0
1999,2,4,2,264003,229839,29101,4176,887,9565,0,0,0,0,0,0,0,0,0,0,0,0
2000,2,4,2,267008,232608,29127,4356,917,10022,0,0,0,0,0,0,0,0,0,0,0,0
2001,2,4,2,266692,231505,29490,4645,1052,10546,0,0,0,0,0,0,0,0,0,0,0,0
2002,2,4,2,268501,232613,29989,4805,1094,10906,0,0,0,0,0,0,0,0,0,0,0,0
2003,2,4,2,268908,232500,30218,5128,1062,11398,0,0,0,0,0,0,0,0,0,0,0,0
2004,2,4,2,267056,230682,30056,5167,1151,11520,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,4,2,268886,231652,30437,5629,1168,12258,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,4,2,269816,232251,30526,5809,1230,12777,0,0,0,0,0,0,0,0,0,0,0,0
2007,2,4,2,270014,231888,30978,5932,1216,13167,0,0,0,0,0,0,0,0,0,0,0,0
2008,2,4,2,270207,231767,30934,6231,1275,13568,0,0,0,0,0,0,0,0,0,0,0,0
2009,2,4,2,270856,231947,31204,6376,1329,14163,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,4,2,273706,233414,31963,6955,1374,14669,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,4,2,274457,233024,32840,7269,1324,15196,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,4,2,276946,234906,32950,7630,1460,16298,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,4,2,277319,234946,33282,7632,1459,16776,0,0,0,0,0,0,0,0,0,0,0,0
1999,4,4,3,156708,137511,16696,1989,512,3752,0,0,0,0,0,0,0,0,0,0,0,0
2000,4,4,3,160051,140589,16864,2101,497,3821,0,0,0,0,0,0,0,0,0,0,0,0
2001,4,4,3,160602,140970,16771,2284,577,4024,0,0,0,0,0,0,0,0,0,0,0,0
2002,4,4,3,162148,142314,17050,2213,571,4251,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,4,3,162589,142422,17132,2463,572,4339,0,0,0,0,0,0,0,0,0,0,0,0
2004,4,4,3,162400,141962,17177,2566,695,4445,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,4,3,163751,143063,17317,2674,697,4714,0,0,0,0,0,0,0,0,0,0,0,0
2006,4,4,3,163134,142504,17193,2783,654,4573,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,4,3,163065,142212,17223,2909,721,4820,0,0,0,0,0,0,0,0,0,0,0,0
2008,4,4,3,163141,142407,16967,3016,751,5029,0,0,0,0,0,0,0,0,0,0,0,0
2009,4,4,3,162492,141640,17051,3096,705,5026,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,4,3,162730,141330,17377,3208,815,5218,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,4,3,161376,139880,17322,3409,765,5367,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,4,3,161851,140021,17484,3528,818,5503,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,4,3,160644,138661,17584,3622,777,5629,0,0,0,0,0,0,0,0,0,0,0,0
1999,3,4,3,32349,26560,5408,313,68,1112,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,4,3,31675,25877,5395,306,97,1103,0,0,0,0,0,0,0,0,0,0,0,0
2001,3,4,3,31300,25577,5318,307,98,1297,0,0,0,0,0,0,0,0,0,0,0,0
2002,3,4,3,31084,25485,5200,308,91,1297,0,0,0,0,0,0,0,0,0,0,0,0
2003,3,4,3,30176,24781,4952,339,104,1293,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,4,3,29627,24283,4867,375,102,1319,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,4,3,29514,24126,4886,385,117,1400,0,0,0,0,0,0,0,0,0,0,0,0
2006,3,4,3,29022,23783,4754,378,107,1471,0,0,0,0,0,0,0,0,0,0,0,0
2007,3,4,3,29703,24201,4965,426,111,1536,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,4,3,29120,23922,4652,405,141,1537,0,0,0,0,0,0,0,0,0,0,0,0
2009,3,4,3,28744,23358,4850,416,120,1542,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,4,3,29276,23815,4912,427,122,1656,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,4,3,28630,23324,4711,465,130,1701,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,4,3,27955,22725,4655,441,134,1706,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,4,3,28390,23166,4594,492,138,1758,0,0,0,0,0,0,0,0,0,0,0,0
1999,2,4,3,41144,35073,5358,583,130,1538,0,0,0,0,0,0,0,0,0,0,0,0
2000,2,4,3,41872,35767,5361,614,130,1670,0,0,0,0,0,0,0,0,0,0,0,0
2001,2,4,3,41394,35078,5506,684,126,1746,0,0,0,0,0,0,0,0,0,0,0,0
2002,2,4,3,41514,35082,5572,712,148,1724,0,0,0,0,0,0,0,0,0,0,0,0
2003,2,4,3,41619,35032,5695,745,147,1884,0,0,0,0,0,0,0,0,0,0,0,0
2004,2,4,3,40954,34458,5541,786,169,1909,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,4,3,41116,34352,5802,796,166,1936,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,4,3,40820,34137,5694,829,160,2054,0,0,0,0,0,0,0,0,0,0,0,0
2007,2,4,3,40598,33845,5798,787,168,2076,0,0,0,0,0,0,0,0,0,0,0,0
2008,2,4,3,40589,33705,5851,863,170,2140,0,0,0,0,0,0,0,0,0,0,0,0
2009,2,4,3,40676,33780,5850,873,173,2270,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,4,3,40996,33834,6031,961,170,2295,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,4,3,40931,33598,6192,977,164,2369,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,4,3,41150,33760,6186,1032,172,2613,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,4,3,40860,33560,6086,1048,166,2671,0,0,0,0,0,0,0,0,0,0,0,0
1999,4,4,4,152061,133673,15953,1938,497,3543,0,0,0,0,0,0,0,0,0,0,0,0
2000,4,4,4,155426,136833,16053,2060,480,3637,0,0,0,0,0,0,0,0,0,0,0,0
2001,4,4,4,155969,137205,16002,2215,547,3812,0,0,0,0,0,0,0,0,0,0,0,0
2002,4,4,4,157630,138590,16306,2178,556,4037,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,4,4,157990,138654,16367,2413,556,4136,0,0,0,0,0,0,0,0,0,0,0,0
2004,4,4,4,158006,138352,16462,2516,676,4210,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,4,4,159217,139380,16555,2609,673,4485,0,0,0,0,0,0,0,0,0,0,0,0
2006,4,4,4,158599,138758,16485,2721,635,4354,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,4,4,158683,138662,16485,2841,695,4617,0,0,0,0,0,0,0,0,0,0,0,0
2008,4,4,4,158592,138666,16238,2958,730,4802,0,0,0,0,0,0,0,0,0,0,0,0
2009,4,4,4,158081,138046,16325,3024,686,4777,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,4,4,158248,137638,16681,3144,785,4950,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,4,4,156953,136293,16586,3331,743,5088,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,4,4,157423,136406,16780,3441,796,5225,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,4,4,156176,134977,16906,3539,754,5353,0,0,0,0,0,0,0,0,0,0,0,0
1999,3,4,4,31728,26004,5357,304,63,1050,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,4,4,31078,25340,5346,300,92,1033,0,0,0,0,0,0,0,0,0,0,0,0
2001,3,4,4,30719,25066,5265,296,92,1226,0,0,0,0,0,0,0,0,0,0,0,0
2002,3,4,4,30446,24918,5145,298,85,1209,0,0,0,0,0,0,0,0,0,0,0,0
2003,3,4,4,29554,24232,4894,328,100,1219,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,4,4,29002,23726,4815,362,99,1238,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,4,4,28905,23597,4823,372,113,1300,0,0,0,0,0,0,0,0,0,0,0,0
2006,3,4,4,28372,23202,4698,368,104,1373,0,0,0,0,0,0,0,0,0,0,0,0
2007,3,4,4,29093,23666,4908,414,105,1432,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,4,4,28471,23362,4587,389,133,1436,0,0,0,0,0,0,0,0,0,0,0,0
2009,3,4,4,28088,22777,4794,406,111,1436,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,4,4,28560,23172,4853,418,117,1535,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,4,4,27970,22728,4658,455,129,1576,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,4,4,27244,22093,4595,429,127,1592,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,4,4,27681,22549,4528,473,131,1634,0,0,0,0,0,0,0,0,0,0,0,0
