Cell Line Name,Canonical Name,Tissue Diagnosis,Gender,Ethnicity,Age,Age Unit,Age Category,SOURCE
HCC2783,HCC2783,Carcinoma Small Cell,Male,Caucasian,67,Years,Adult,UTSW
HCC2814,HCC2814,Carcinoma Squamous Cell,Male,Caucasian,55,Years,Adult,UTSW
HCC2846,HCC2846,Carcinoma Transitional Cell,Female,Unknown,71,Years,Adult,UTSW
HCC2858,HCC2858,Carcinoma Transitional Cell,Male,Unknown,88,Years,Adult,UTSW
HCC2877,HCC2877,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC2879,HCC2879,Adenocarcinoma Ductal,Female,African,75,Years,Adult,UTSW
HCC2885,HCC2885,Carcinoma Non-Small Cell,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC2911,HCC2911,Carcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC2935,HCC2935,Adenocarcinoma,Male,Caucasian,39,Years,Adult,ATCC
HCC2958,HCC2958,Carcinoma Non-Small Cell,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC2962,HCC2962,Adenocarcinoma,Male,Unknown,Unknown,Unknown,Unknown,UTSW
HCC2974,HCC2974,Carcinoma,Male,Unknown,Unknown,Unknown,Unknown,UTSW
HCC2998,HCC2998,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC3051,HCC3051,Carcinoma Large Cell,Male,African,63,Years,Adult,UTSW
HCC31,HCC31,Carcinoma Squamous Cell,Male,Caucasian,57,Years,Adult,UTSW
HCC3153,HCC3153,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC317,HCC317,Unknown,Male,Unknown,49,Years,Adult,UTSW
HCC3172,HCC3172,Unknown,Male,Unknown,Unknown,Unknown,Unknown,UTSW
HCC3212,HCC3212,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC3270,HCC3270,Carcinoma,Female,Unknown,Unknown,Unknown,Unknown,UTSW
HCC33,HCC33,Carcinoma Small Cell,Male,Caucasian,53,Years,Adult,DSMZ
HCC3303,HCC3303,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC3335,HCC3335,Carcinoma Medullary,Female,African,57,Years,Adult,UTSW
HCC3418,HCC3418,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC345,HCC345,Carcinoma Squamous Cell,Male,African,60,Years,Adult,UTSW
HCC364,HCC364,Adenocarcinoma,Male,Unknown,76,Years,Adult,UTSW
HCC366,HCC366,Carcinoma Non-Small Cell,Female,Unknown,80,Years,Adult,DSMZ
HCC374,HCC374,Adenocarcinoma,Female,African,55,Years,Adult,UTSW
HCC379,HCC379,Adenocarcinoma Ductal,Female,African,70,Years,Adult,UTSW
HCC38,HCC38,Adenocarcinoma Ductal,Female,Caucasian,50,Years,Adult,ATCC
HCC38 BL,HCC38 BL,Normal,Female,Caucasian,50,Years,Adult,ATCC
HCC4000,HCC4000,Carcinoma Small Cell,Male,African,46,Years,Adult,UTSW
HCC4001,HCC4001,Carcinoma Small Cell,Male,Caucasian,66,Years,Adult,UTSW
HCC4002,HCC4002,Carcinoma Small Cell,Male,Caucasian,57,Years,Adult,UTSW
HCC4003,HCC4003,Carcinoma Small Cell,Male,Caucasian,61,Years,Adult,UTSW
HCC4004,HCC4004,Carcinoma Small Cell,Male,Caucasian,57,Years,Adult,UTSW
HCC4005,HCC4005,Carcinoma Small Cell,Male,Caucasian,55,Years,Adult,UTSW
HCC4006,HCC4006,Adenocarcinoma,Male,Caucasian,50,Years,Adult,ATCC
HCC4011,HCC4011,Adenocarcinoma,Male,Caucasian,53,Years,Adult,UTSW
HCC4012,HCC4012,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC4017,HCC4017,Carcinoma Large Cell,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC4018,HCC4018,Adenocarcinoma,Female,Caucasian,75,Years,Adult,UTSW
HCC4019,HCC4019,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC4021,HCC4021,Adenocarcinoma,Female,Caucasian,68,Years,Adult,UTSW
HCC4032,HCC4032,Adenocarcinoma,Male,Caucasian,82,Years,Adult,UTSW
HCC407,HCC407,Glioblastoma,Male,Unknown,48,Years,Adult,UTSW
HCC41,HCC41,Carcinoma Small Cell,Female,Unknown,67,Years,Adult,UTSW
HCC420,HCC420,Carcinoma Neuroendocrine,Female,Unknown,62,Years,Adult,UTSW
HCC435,HCC435,Carcinoma Squamous Cell,Male,Caucasian,63,Years,Adult,UTSW
HCC44,HCC44,Carcinoma Non-Small Cell,Female,Unknown,54,Years,Adult,DSMZ
HCC446,HCC446,Adenocarcinoma,Female,Unknown,49,Years,Adult,UTSW
HCC461,HCC461,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC48,SH-10-TC,Carcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC5,HCC5,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC515,HCC515,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC555,HCC555,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC56,HCC56,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,JCRB
HCC590,HCC590,Carcinoma,Female,Unknown,60,Years,Adult,UTSW
HCC597,HCC597,Carcinoma,Female,Caucasian,64,Years,Adult,UTSW
HCC60,HCC60,Carcinoma,Female,African,26,Years,Adult,UTSW
HCC630,HCC630,Carcinoma,Female,Hispanic,32,Years,Adult,UTSW
HCC653,HCC653,Carcinoma,Male,Caucasian,67,Years,Adult,UTSW
HCC70,HCC70,Adenocarcinoma Ductal,Female,African,49,Years,Adult,ATCC
HCC711,HCC711,Adenocarcinoma,Male,African,59,Years,Adult,UTSW
HCC712,HCC712,Adenocarcinoma Ductal,Female,Asian,41,Years,Adult,UTSW
HCC78,HCC78,Adenocarcinoma,Male,Unknown,65,Years,Adult,DSMZ
HCC824,HCC824,Adenocarcinoma,Female,Caucasian,59,Years,Adult,UTSW
HCC826,HCC826,Carcinoma,Female,African,40,Years,Adult,UTSW
HCC827,HCC827,Adenocarcinoma,Female,Caucasian,39,Years,Adult,ATCC
HCC841,HCC841,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC845,HCC845,Mesothelioma,Female,Caucasian,37,Years,Adult,UTSW
HCC850,HCC850,Carcinoma Small Cell,Female,African,60,Years,Adult,UTSW
HCC853,HCC853,Leukemia,Male,Caucasian,48,Years,Adult,UTSW
HCC880,HCC880,Carcinoma Renal Cell,Female,Hispanic,58,Years,Adult,UTSW
HCC889,HCC889,Carcinoma,Male,African,47,Years,Adult,UTSW
HCC89,HCC89,Carcinoma Renal Cell,Female,Caucasian,64,Years,Adult,UTSW
HCC90,HCC90,Carcinoma Transitional Cell,Male,Caucasian,47,Years,Adult,UTSW
HCC95,HCC95,Carcinoma Squamous Cell,Male,Unknown,47,Years,Adult,UTSW
HCC954,HCC954,Carcinoma Large Cell,Female,Caucasian,41,Years,Adult,UTSW
HCC956,HCC956,Adenocarcinoma Ductal,Unknown,Unknown,Unknown,Unknown,Unknown,UTSW
HCC970,HCC970,Carcinoma Small Cell,Male,Unknown,62,Years,Adult,UTSW
HCC973,HCC973,Carcinoma,Male,African,56,Years,Adult,UTSW
HCC985,HCC985,Adenocarcinoma,Male,Unknown,45,Years,Adult,UTSW
HCE-2,HCE-2,Normal,Male,African,Unknown,Unknown,Unknown,ATCC
HCE7,HCE7,Carcinoma Squamous Cell,Unknown,Unknown,Unknown,Unknown,Unknown,UPMC
HCEC-12,HCEC-12,Normal,Female,Caucasian,91,Years,Adult,DSMZ
HCEC-B4G12,HCEC-B4G12,Normal,Female,Caucasian,91,Years,Adult,DSMZ
HCEC-H9C1,HCEC-H9C1,Normal,Female,Caucasian,91,Years,Adult,DSMZ
HCE-T,HCE-T,Mormal,Female,Unknown,49,Years,Adult,RIKEN
HCN-1A,HCN-1A,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HCN-2,HCN-2,Normal,Female,Unknown,7,Years,Juvenile,ATCC
HCS-2,HCS-2,Carcinoma Squamous Cell,Female,Japanese,42,Years,Adult,JCRB
HCSC-1,HCSC-1,Carcinoma Small Cell,Female,Japanese,48,Years,Adult,JCRB
HCT 116,HCT 116,Carcinoma,Male,Unknown,Unknown,Unknown,Adult,ATCC
HCT-15,DLD-1,Adenocarcinoma,Male,Unknown,Unknown,Unknown,Adult,ATCC
HCT-8,DLD-1,Adenocarcinoma,Male,Unknown,Unknown,Unknown,Adult,ECACC
HD-70,HD-70,Lymphoma,Male,Japanese,69,Years,Adult,JCRB
HDC,HDC,Unknown,Female,Unknown,29,Years,Adult,RIKEN
HDLM-2,HDLM-2,Hodgkin's Lymphoma,Male,Unknown,74,Years,Adult,DSMZ
HD-MAR,HD-Mar2,Leukemia,Male,Unknown,20,Years,Adult, --
HD-Mar2,HD-Mar2,Leukemia,Male,Unknown,20,Years,Adult,RIKEN
HD-MY-Z,HD-MY-Z,Hodgkin's Lymphoma,Unknown,Unknown,29,Years,Adult,DSMZ
HDQ-P1,HDQ-P1,Carcinoma,Female,Caucasian,50,Years,Adult,DSMZ
He We,He We,Stiff Skin Syndrome,Male,Unknown,Unknown,Unknown,Unknown,ATCC
HE-1,HE-1,Normal,Female,Unknown,Unknown,Unknown,Fetal,JCRB
HE12,HE12,Normal,Unknown,Unknown,8,Weeks,Fetal,RIKEN
HE13,HE13,Normal,Unknown,Unknown,8,Weeks,Fetal,RIKEN
HE16,HE16,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE18,HE18,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE19,HE19,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE21,HE21,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE22,HE22,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE27,HE27,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE28,HE28,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE29,HE29,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE30,HE30,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE31,HE31,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE32,HE32,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE33,HE33,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE34,HE34,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE36,HE36,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE37,HE37,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE38,HE38,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE39,HE39,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE40,HE40,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE41,HE41,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE42,HE42,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE46,HE46,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE47,HE47,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE48,HE48,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE49,HE49,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE50,HE50,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE51,HE51,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE52,HE52,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE53,HE53,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE54,HE54,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE55,HE55,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HE57,HE57,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,RIKEN
HEC-1,HEC-1,Adenocarcinoma Endometrioid,Female,Unknown,71,Years,Adult,JCRB
HEC-108,HEC-108,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB
HEC-116,HEC-116,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB
HEC-151,HEC-151,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB
HEC-155,HEC-155,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,JCRB
HEC-180,HEC-155,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
HEC-1-A,HEC-1,Adenocarcinoma,Female,Unknown,71,Years,Adult,ATCC
HEC-1-B,HEC-1,Adenocarcinoma Endometrioid,Female,Unknown,71,Years,Adult,ATCC
HEC-251,HEC-251,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB
HEC-265,HEC-265,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB
HEC-50B,HEC-50B,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB
HEC-59,HEC-59,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB
HEC-6,HEC-6,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB
HEC-88nu,HEC-88nu,Adenocarcinoma Endometrioid,Unknown,Japanese,Unknown,Unknown,Unknown,JCRB
HEKn,HEKn,Normal,Unknown,Unknown,Unknown,Unknown,Unknown, --
HEL,HEL,Erythroleukemia,Male,Caucasian,30,Years,Adult,DSMZ
HEL 12469,HEL 12469,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
HEL 299,HEL 299,Normal,Male,African,Unknown,Unknown,Fetus,ATCC
HEL 92.1.7,HEL,Erythroleukemia,Male,Caucasian,30,Years,Adult,ATCC
HeLa,HeLa,Adenocarcinoma,Female,African,31,Years,Adult,ATCC
HE-LU(Rifkin),HE-LU(Rifkin),Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
H-EMC-SS,H-EMC-SS,Chondrosarcoma,Female,Unknown,77,Years,Adult,ECACC
Hep 3B,Hep 3B,Carcinoma,Male,African,8,Years,Juvenile,ECACC
Hep 3B2,Hep 3B2,Carcinoma Hepatocellular,Male,african,8,Years,Juvenile,ATCC
Hep 3B2.1-7,Hep 3B,Carcinoma Hepatocellular,Male,African,8,Years,Juvenile,ATCC
Hep G2,Hep G2,Carcinoma Hepatocellular,Male,Caucasian,15,Years,Juvenile, --
HEp-2,HeLa,Adenocarcinoma,Female,African,31,Years,Adult,RIKEN
Hepa 1-6,Hepa 1-6,Carcinoma Hepatocellular,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HEPM,HEPM,Normal,Female,Unknown,Unknown,Unknown,Fetal,ATCC
hES BG01V,hES BG01V,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,ATCC
HE-SK,HE-SK,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
Het-1A,Het-1A,Normal,Male,African,25,Years,Adult,ATCC
HEY,HEY,Carcinoma,Female,Unknown,Unknown,Unknown,Unknown,Cedarlane Laboratories
HF 282.Sp,HF 282.Sp,Normal,Unknown,Unknown,Unknown,Unknown,Fetal,ATCC
HF 322.Sk,HF 322.Sk,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HF 333.We,HF 333.We,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HF 345.We,HF 345.We,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HF 358.We,HF 358.We,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HF19,HF19,Normal,Female,Unknown,14,Weeks,Fetal,ECACC
HF2x653,HF2x653,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
HFAE-2,HAAE-2,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HFb16d,HFb16d,Normal,Male,Unknown,Unknown,Unknown,Unknown,JCRB
HFF-1,HFF-1,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HFF-2,HFF-2,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HFFF2,HFFF2,Normal,Unknown,Unknown,18,Weeks,Fetal,ECACC
HFL1,HFL1,Normal,Unknown,Caucasian,Unknown,Unknown,Fetus,ATCC
HFL9t,HFL9t,Normal,Male,Unknown,19,Weeks,Fetal,RIKEN
HFL-AE-I,HFL-AE-I,Normal,Male,Japanese,15,Weeks,Fetus,RIKEN
HFL-AE-II,HFL-AE-II,Normal,Female,Japanese,17,Weeks,Fetus,RIKEN
HFL-AE-III,HFL-AE-III,Normal,Unknown,Japanese,15,Weeks,Fetus,RIKEN
HFL-AE-VI,HFL-AE-VI,Normal,Unknown,Japanese,Unknown,Unknown,Unknown,RIKEN
HFL-AE-VII,HFLI-AE-VII,Normal,Female,Unknown,Unknown,Unknown,Unknown,RIKEN
HFL-I,HFL-I,Normal,Unknown,Japanese,11,Weeks,Fetus,RIKEN
HFLI-AE-VII,HFLI-AE-VII,Normal,Female,Unknown,Unknown,Unknown,Unknown,RIKEN
HFL-II,HFL-II,Normal,Unknown,Japanese,14,Weeks,Fetus,RIKEN
HFL-III,HFL-III,Normal,Unknown,Japanese,11,Weeks,Fetus,RIKEN
hFOB 1.19,hFOB 1.19,Normal,Unknown,Unknown,Unknown,Unknown,Fetus,ATCC
HFSK9t,HFL9t,Normal,Male,Unknown,19,Weeks,Fetal,RIKEN
HFSKF-AE-V,HFSKF-AE-V,Normal,Female,Japanese,Unknown,Unknown,Fetal,RIKEN
HFSKF-AE-VII,HFLI-AE-VII,Normal,Female,Unknown,Unknown,Unknown,Unknown,RIKEN
HFSKF-II,HFSKF-II,Normal,Unknown,Japanese,11,Weeks,Fetus,RIKEN
HFWT,HFWT,Wilms' tumor,Male,Unknown,5,Months,Juvenile,RIKEN
HG-261,HG-261,Faconi?s anaemia,Male,Caucasian,6,Years,Juvenile,ECACC
HGC-27,HGC-27,Carcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
HGF-1,HGF-1,Normal,Male,Caucasian,28,Years,Adult,ATCC
HGRT,HGRT,Teratoma,Female,Japanese,3,Months,Juvenile,RIKEN
HH,HH,Lymphoma,Male,Unknown,61,Years,Adult,ATCC
HH-8,HH-8,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
HHUA,HHUA,Unknown,Female,Japanese,54,Years,Adult,RIKEN
HIAE-101,HIAE-101,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HIAE-38,HIAE-101,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HIAE-55,HIAE-101,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HIAE-65,HIAE-101,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HIAE-78,HIAE-101,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HIRS-BM,HIRS-BM,adenocarcinoma,Female,Japanese,16,Years,Juvenile,RIKEN
HIVE-26,HIVE-26,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HIVE-55,HIAE-101,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HIVE-65,HIAE-101,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HIVE-78,HIAE-101,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HIVS-125,HIVS-125,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HKA-1,HKA-1,Unknown,Female,Japanese,77,Years,Adult,JCRB
HKB-11,HKB-11,Malignant Lymphoma - Burkitts Type,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HKB-11,1G2,Malignant Lymphoma - Burkitts Type,Male,African,7,Years,Juvenile,ATCC
HKb20,293,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,RIKEN
HKBML,HKBML,Lymphoma,Male,Japanese,Unknown,Unknown,Unknown,RIKEN
HKBMM,HKBMM,Meningioma,Female,Unknown,48,Years,Adult,RIKEN
HKMUS,SKG-II,Carcinoma Squamous Cell,Female,Unknown,50,Years,Adult, --
HKMUS-SF,SKG-II,Carcinoma Squamous Cell,Female,Unknown,50,Years,Adult, --
HL,HL,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
HL-60,HL-60,Leukemia,Female,Caucasian,36,Years,Adult,ECACC
HLC-1,HLC-1,Adenocarcinoma,Unknown,Japanese,Unknown,Unknown,Unknown,RIKEN
HLCL-1,HLCL-1,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,JCRB
HLE,HLE,Carcinoma Hepatocellular,Male,Unknown,68,Years,Adult,JCRB
HLF,HLE,Carcinoma Hepatocellular,Male,Unknown,68,Years,Adult,JCRB
HLF-a,HLF-a,Carcinoma,Female,African,54,Years,Adult, --
HLtat,HeLa,Adenocarcinoma,Female,African,31,Years,Adult,RIKEN
HM7,LS-174T,Adenocarcinoma,Female,Caucasian,58,Years,Adult, --
HMC-1-8,HMC-1-8,Carcinoma,Female,Unknown,35,Years,Adult,JCRB
HMCB,COLO 699,Adenocarcinoma,Female,Unknown,57,Years,Adult, --
HMEC,HMEC,Normal,Female,various,various,various,various, --
HMMME,HMMME,Mesothelioma,Male,Japanese,72,Years,Adult,RIKEN
HMT-3522,HMT-3522,Benign Tumor,Female,Unknown,Unknown,Unknown,Unknown,ECACC
HMVEC,HMVEC,Normal,various,various,various,various,various, --
HMVII,HMVII,Melanoma,Female,Unknown,65,Years,Adult,ECACC
HMY-1,HMY-1,Melanoma,Male,Japanese,62,Years,Adult,JCRB
HMy2.CIR,HMy2.CIR,Normal,Female,Caucasian,33,Years,Adult,ATCC
HN,HN,Carcinoma Squamous Cell,Male,Japanese,60,Years,Adult,DSMZ
HNE-1,HNE-1,Carcinoma,Male,Asian,27,Years,Adult, --
HNT-34,HNT-34,Leukemia Acute Myelogenous,Female,Unknown,47,Years,Adult,DSMZ
HO-1-N-1,HO-1-N-1,Carcinoma Squamous Cell,Unknown,Unknown,Unknown,Unknown,Unknown,JCRB
HO-1-u-1,HO-1-u-1,Carcinoma Squamous Cell,Male,Unknown,72,Years,Adult,JCRB
HOCE,HOCE,Choriocarcinoma,Female,Japanese,34,Years,Adult,RIKEN
HOEF,HOEF,Normal,Female,Japanese,31,Years,Adult,RIKEN
HOKUG,HOKUG,Carcinoma,Female,Unknown,53,Years,Adult,RIKEN
HOMM,HOMM,Melamoma,Female,Japanese,34,Years,Adult,RIKEN
HONE-1,HONE-1,Carcinoma,Male,Asian,68,Years,Adult, --
HOP-18,HOP-18,Carcinoma Large Cell,Unknown,Unknown,Unknown,Unknown,Unknown, --
HOP-62,HOP-62,Carcinoma Non-Small Cell,Female,Unknown,60,Years,Adult,NCI
HOP-92,HOP-92,Carcinoma Large Cell,Unknown,Unknown,Unknown,Unknown,Unknown, --
HOS,143.98.2,Osteosarcoma,Female,Caucasian,13,Years,Juvenile,ATCC
HOTHC,HOTHC,Unknown,Female,Unknown,Unknown,Unknown,Unknown,RIKEN
HOTHC-SF,HOTHC-SF,Unknown,Female,Japanese,Unknown,Unknown,Unknown,RIKEN
HOUA-I,HOUA-I,Adenocarcinoma,Female,Unknown,55,Years,Adult,RIKEN
HOUFXXX,HOUFXXX,Normal,Female,Unknown,32,Years,Adult,RIKEN
HP,HP,Fibrosarcoma,Male,Caucasian,35,Years,Adult,ATCC
HP100-1,HL-60,Leukemia,Female,Caucasian,36,Years,Adult,RIKEN
HP50-2,HL-60,Leukemia,Female,Caucasian,36,Years,Adult,RIKEN
HPAC,HPAC,Adenocarcinoma,Female,Caucasian,64,Years,Adult,ATCC
HPAE-26,HIVE-26,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HPAF-II,HPAF-II,Adenocarcinoma,Male,Caucasian,Unknown,Unknown,Unknown,ATCC
HPB-ALL,HPB-ALL,Leukemia,Male,Japanese,14,Years,Juvenile,DSMZ
HPB-MLT,HPB-ALL,Leukemia,Male,Japanese,14,Years,Juvenile, --
HPDE6,HPDE6,Normal,Unknown,Unknown,Unknown,Unknown,Unknown, --
HPVE-26,HIVE-26,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
HR5,HeLa,Adenocarcinoma,Female,African,31,Years,Adult,ECACC
HR5-CL11,HeLa,Adenocarcinoma,Female,African,31,Years,Adult,ECACC
HRA-16,HRA-16,Adenocarcinoma,Male,Unknown,56,Years,Adult,ECACC
HRA-19,HRA-19,Adenocarcinoma,Unknown,Unknown,66,Years,Adult,ECACC
HRA-19a1.1,HRA-19a1.1,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
HRA-19a1.1 Alpha 2F,HRA-19a1.1 Alpha 2F,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
HRA-19a1.1 Alpha2 B,HRA-19a1.1 Alpha2 B,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
HRA-19a1.1 Alpha2Alpha1 B,HRA-19a1.1 Alpha2Alpha1 B,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
HRA-19a1.1 Alpha2Alpha1 E,HRA-19a1.1 Alpha2Alpha1 E,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
HRT-18,DLD-1,Adenocarcinoma,Male,Unknown,Unknown,Unknown,Adult,ECACC
Hs 1.Int,Hs 1,Normal,Male,Caucasian,Unknown,Unknown,Unknown,ATCC
Hs 1.Lu,Hs 1,Normal,Male,Caucasian,Unknown,Unknown,Fetal,ATCC
Hs 1.Sk/Mu,Hs 1,Normal,Male,Caucasian,Unknown,Unknown,Fetal,ATCC
Hs 1.Tes,Hs 1,Normal,Male,Caucasian,Unknown,Unknown,Fetal,ATCC
Hs 103.Sp/Th,Hs 103.Sp/Th,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
Hs 104.Sp/Th,Hs 104.Sp/Th,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
Hs 112.Sk,Hs 112.Sk,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
Hs 115.Lu,Hs 115.Lu,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
Hs 127.T,Hs 127.T,Sarcoma,Male,Caucasian,64,Years,Adult,ATCC
Hs 13.Sk,Hs 13.Sk,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
Hs 132.T,Hs 132.T,Sarcoma Spindle Cell,Male,Caucasian,49,Years,Adult,ATCC
Hs 137.Fs,Hs 137.Fs,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
Hs 14.T,Hs 14.T,Osteosarcoma,Female,Caucasian,45,Years,Adult,ATCC
Hs 142.Sp,Hs 142.Sp,Normal,Female,Caucasian,12,Days,Juvenile,ATCC
Hs 142.Th,Hs 142.Th,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
Hs 143.We,Hs 143.We,Normal,Unknown,Caucasian,6,Weeks,Fetal,ATCC
Hs 144.We,Hs 144.We,Normal,Female,Unknown,5,Weeks,Fetal,ATCC
