Name,Canonical_Name,Primary Tissue,Diagnosis,Gender,Ethnicity,Age,Age_Unit,Age_Category,Source,Status,"Cancer Type (1=Undefined, 2=Breast, 3=Male Prostate, 4=Lung)","Gender Index (1=Female, 2=Male, 3=Unspecified)","Ethnicity Index (1=Asian, 2=Black, 3=Hispanic,4=Native American, 5=White, 6=Unspecified)","Contaminant Status Index(0=Uncontaminated, 1=Contaminated, Derivative Line, 3=Nomenclature, 4=Parental, 5=Unresolved)","Donor Age (Years, -10=Unspecified)",Founding Year of Cell Line (-10=Undefined),URL, 
TIG-112,TIG-112,Skin,Normal,Female,Unknown,40,Years,Adult,JCRB,0,1,1,6,0,40.0,-10,,
TIG-113,TIG-113,Skin,Normal,Female,Japanese,21,Years,Adult,JCRB,0,1,1,1,0,21.0,-10,,
TIG-120,TIG-120,Skin,Normal,Female,Japanese,6,Years,Juvenile,JCRB,0,1,1,1,0,6.0,-10,,
Win Mec,Win Mec,Skin,Xeroderma Pigmentosum,Female,Unknown,45,Years,Adult,ATCC,0,1,1,6,0,45.0,-10,,
WM-115,WM-115,Skin,Melanoma,Female,Unknown,58,Years,Adult,ATCC,Derived from same patient,1,1,6,2,58.0,-10,,
WM-266-4,WM-266-4,Skin,Melanoma,Female,Unknown,58,Years,Adult,ECACC,Derived from same patient,1,1,6,2,58.0,-10,,
Wo Fel,Wo Fel,Skin,Ehlers-Danlos syndrome,Female,Unknown,Unknown,Unknown,Unknown,ATCC,0,1,1,6,0,-10.0,-10,,
Wo Jo,Wo Jo,Skin,osteogenesis imperfecta,Female,Unknown,23,Years,Adult,ATCC,0,1,1,6,0,23.0,-10,,
WS1,WS1,Skin,Normal,Female,African,12,Weeks,Fetus,ATCC,0,1,1,2,0,0.2,-10,,
WS2TKB,WS2TKB,Skin,Unknown,Female,Japanese,25,Years,Adult,RIKEN,0,1,1,1,0,25.0,-10,,
WS3RGB,WS3RGB,Skin,Unknown,Female,Japanese,42,Years,Adult,RIKEN,0,1,1,1,0,42.0,-10,,
WS6RGB,WS6RGB,Skin,Unknown,Female,Japanese,52,Years,Adult,RIKEN,0,1,1,1,0,52.0,-10,,
HCC374,HCC374,Spleen,Adenocarcinoma,Female,African,55,Years,Adult,UTSW,0,1,1,2,0,55.0,-10,,
AGS,AGS,Stomach,Adenocarcinoma,Female,Caucasian,54,Years,Adult,ATCC,0,1,1,5,0,54.0,-10,,
GCIY,GCIY,Stomach,Carcinoma,Female,Japanese,Unknown,Unknown,Unknown,RIKEN,0,1,1,1,0,-10.0,-10,,
GTL-16,MKN-45,Stomach,Adenocarcinoma,Female,Unknown,62,Years,Adult, --,Derivative Line,1,1,6,2,62.0,-10,,
LMSU,LMSU,Stomach,Carcinoma,Female,Japanese,27,Years,Adult,RIKEN,0,1,1,1,0,27.0,-10,,
MKN-45,MKN-45,Stomach,Adenocarcinoma,Female,Unknown,62,Years,Adult,JCRB,Derivative Line,1,1,6,2,62.0,-10,,
NCC-StC-K140,NCC-StC-K140,Stomach,Adenocarcinoma,Female,Unknown,36,Years,Adult,JCRB,0,1,1,6,0,36.0,-10,,
NUGC-2,NUGC-2,Stomach,Adenocarcinoma,Female,Unknown,56,Years,Adult,JCRB,0,1,1,6,0,56.0,-10,,
NUGC-4,NUGC-4,Stomach,Adenocarcinoma,Female,Unknown,35,Years,Adult,JCRB,0,1,1,6,0,35.0,-10,,
OCUM-1,OCUM-1,Stomach,Adenocarcinoma,Female,Japanese,38,Years,Adult,JCRB,0,1,1,1,0,38.0,-10,,
SNU-16,SNU-16,Stomach,Carcinoma,Female,Unknown,33,Years,Adult,ATCC,0,1,1,6,0,33.0,-10,,
SNU-216,SNU-216,Stomach,Carcinoma,Female,asian,46,Years,Adult,ATCC,0,1,1,1,0,46.0,-10,,
SNU-5,SNU-5,Stomach,Carcinoma,Female,asian,33,Years,Adult,ATCC,0,1,1,1,0,33.0,-10,,
SNU-520,SNU-520,Stomach,Carcinoma,Female,Unknown,60,Years,Adult,Korean Cell Line Bank,0,1,1,6,0,60.0,-10,,
SNU-620,SNU-620,Stomach,Carcinoma,Female,Unknown,59,Years,Adult,Korean Cell Line Bank,0,1,1,6,0,59.0,-10,,
TGBC11TKB,TGBC11TKB,Stomach,Carcinoma,Female,Japanese,72,Years,Adult,RIKEN,0,1,1,1,0,72.0,-10,,
MH7A,MH7A,Synovium,Normal,Female,Japanese,53,Years,Adult,RIKEN,0,1,1,1,0,53.0,-10,,
PA-1/6TG-r,PA-1/6TG-r,Testis,Teratoma,Female,Caucasian,12,Years,Juvenile,JCRB,0,1,1,5,0,12.0,-10,,
Hs 232.Th,Hs 232.Th,Thymus,Normal,Female,Caucasian,15,Weeks,Fetal,ATCC,0,1,1,5,0,0.3,-10,,
Hs 910.Thm,Hs 910.Thm,Thymus,Normal,Female,Caucasian,13,Years,Juvenile,ATCC,Contaminant? Requires determination of provenance.,1,1,5,1,13.0,-10,,
Ty-82,Ty-82,Thymus,Carcinoma,Female,Japanese,22,Years,Adult,JCRB,0,1,1,1,0,22.0,-10,,
8305C,8305C,Thyroid,Carcinoma Anaplastic,Female,Unknown,67,Years,Adult,DSMZ,0,1,1,6,0,67.0,-10,,
8505C,8505C,Thyroid,Carcinoma,Female,Unknown,78,Years,Adult,DSMZ,0,1,1,6,0,78.0,-10,,
ASH-3,ASH-3,Thyroid,Carcinoma,Female,Japanese,68,Years,Adult,JCRB,0,1,1,1,0,68.0,-10,,
B-CPAP,B-CPAP,Thyroid,Carcinoma,Female,Unknown,76,Years,Adult,DSMZ,0,1,1,6,0,76.0,-10,,
BHT-101,BHT-101,Thyroid,Carcinoma,Female,Unknown,63,Years,Adult,DSMZ,0,1,1,6,0,63.0,-10,,
CAL 62,CAL 62,Thyroid,Carcinoma Anaplastic,Female,Unknown,70,Years,Adult,DSMZ,0,1,1,6,0,70.0,-10,,
CGTH-W-1,CGTH-W-1,Thyroid,Carcinoma,Female,Chinese,70,Years,Adult,DSMZ,Derivative Line,1,1,1,2,70.0,-10,,
HOTHC,HOTHC,Thyroid,Unknown,Female,Unknown,Unknown,Unknown,Unknown,RIKEN,0,1,1,6,0,-10.0,-10,,
HOTHC-SF,HOTHC-SF,Thyroid,Unknown,Female,Japanese,Unknown,Unknown,Unknown,RIKEN,0,1,1,1,0,-10.0,-10,,
HTC/C3,HTC/C3,Thyroid,Carcinoma,Female,Japanese,44,Years,Adult,JCRB,0,1,1,1,0,44.0,-10,,
ML-1,ML-1,Thyroid,Carcinoma Follicular,Female,Unknown,50,Years,Adult,DSMZ,0,1,1,6,0,50.0,-10,,
RO82-W-1,RO82-W-1,Thyroid,Carcinoma Follicular,Female,Unknown,Unknown,Unknown,Unknown,ECACC,0,1,1,6,0,-10.0,-10,,
S-117,S-117,Thyroid,Sarcoma,Female,Unknown,47,Years,Adult,DSMZ,0,1,1,6,0,47.0,-10,,
SW 579,CGTH-W-1,Thyroid,Carcinoma,Female,Chinese,70,Years,Adult,ATCC,Derivative Line,1,1,1,2,70.0,-10,,
T3M-5,T3M-5,Thyroid,Carcinoma Squamous Cell,Female,Japanese,71,Years,Adult,RIKEN,0,1,1,1,0,71.0,-10,,
TT,TT,Thyroid,Carcinoma Medullary,Female,Caucasian,77,Years,Adult,ATCC,0,1,1,5,0,77.0,-10,,
BICR 56,BICR 56,Tongue,Carcinoma Squamous Cell,Female,Caucasian,Unknown,Unknown,Unknown,ECACC,0,1,1,5,0,-10.0,-10,,
Hs 677.Tg,Hs 677.Tg,Tongue,Normal,Female,Caucasian,16,Weeks,Fetal,ATCC,0,1,1,5,0,0.3,-10,,
Hs 680.Tg,Hs 680.Tg,Tongue,Normal,Female,Caucasian,16,Weeks,Fetal,ATCC,0,1,1,5,0,0.3,-10,,
OSC-20,OSC-20,Tongue,Carcinoma Squamous Cell,Female,Japanese,59,Years,Adult,JCRB,0,1,1,1,0,59.0,-10,,
PE/CA-PJ41 (clone D2),PE/CA-PJ41 (clone D2),Tongue,Carcinoma Squamous Cell,Female,Unknown,67,Years,Adult,ECACC,0,1,1,6,0,67.0,-10,,
Hs 198.Ton,Hs 198.Ton,Tonsil,Normal,Female,African,10,Weeks,Fetal,ATCC,0,1,1,2,0,0.2,-10,,
Hs 680.Tr,Hs 680.Tr,Trachea,Normal,Female,Caucasian,16,Weeks,Fetal,ATCC,0,1,1,5,0,0.3,-10,,
HUC-F,HUC-F,Umbilical Cord,Normal,Female,Japanese,Unknown,Unknown,Unknown,RIKEN,0,1,1,1,0,-10.0,-10,,
HUC-F2,HUC-F2,Umbilical Cord,Normal,Female,Japanese,Unknown,Unknown,Unknown,RIKEN,0,1,1,1,0,-10.0,-10,,
UC701,UC701,Umbilical Cord,Normal,Female,Unknown,Unknown,Unknown,Unknown,JCRB,unresolved,1,1,6,5,-10.0,-10,,
COLO 738,COLO 699,Unknown,Adenocarcinoma,Female,Unknown,57,Years,Adult,ECACC,Contaminant,1,1,6,1,57.0,-10,,
HCC1448,HCC1448,Unknown,Adenocarcinoma,Female,African,49,Years,Adult,UTSW,0,1,1,2,0,49.0,-10,,
HCC19,HCC19,Unknown,Adenocarcinoma,Female,Caucasian,58,Years,Adult,UTSW,0,1,1,5,0,58.0,-10,,
Hs 228.T,Hs 228.T,Unknown,Carcinoma,Female,Caucasian,67,Years,Adult,ATCC,0,1,1,5,0,67.0,-10,,
Hs 235.Sk,Hs 235.Sk,Unknown,Normal,Female,African,13,Years,Juvenile,ATCC,0,1,1,2,0,13.0,-10,,
Hs 5.T,Hs 5.T,Unknown,Leiomyosarcoma,Female,Caucasian,81,Years,Adult,ATCC,0,1,1,5,0,81.0,-10,,
Hs 792(C).M,Hs 792(C).M,Unknown,Normal,Female,Caucasian,29,Years,Adult,ATCC,0,1,1,5,0,29.0,-10,,
Hs 856.T,Hs 856.T,Unknown,histiocytoma,Female,African,16,Years,Juvenile,ATCC,0,1,1,2,0,16.0,-10,,
HS-Sch-2,HS-Sch-2,Unknown, peripheral nerve sheath tumor,Female,Unknown,54,Years,Adult,RIKEN,0,1,1,6,0,54.0,-10,,
YST-1,YST-1,Unknown,Schwannoma,Female,Unknown,8,Years,Juvenile,RIKEN,0,1,1,6,0,8.0,-10,,
Hs 769.T,Hs 769.T,Urethra,Carcinoma Transitional Cell,Female,African,59,Years,Adult,ATCC,0,1,1,2,0,59.0,-10,,
BC-3C,BC-3C,Urinary Bladder,Carcinoma Transitional Cell,Female,Caucasian,82,Years,Adult, --,0,1,1,5,0,82.0,-10,,
BFTC-905,BFTC-905,Urinary Bladder,Carcinoma Transitional Cell,Female,Chinese,51,Years,Adult,DSMZ,0,1,1,1,0,51.0,-10,,
CAL 29,CAL 29,Urinary Bladder,Carcinoma Transitional Cell,Female,Unknown,80,Years,Adult,DSMZ,0,1,1,6,0,80.0,-10,,
ECV-304,T24,Urinary Bladder,Carcinoma,Female,Caucasian,81,Years,Adult,ATCC,Parental,1,1,5,4,81.0,-10,,
EJ-1,T24,Urinary Bladder,Carcinoma,Female,Caucasian,81,Years,Adult,JCRB,Parental,1,1,5,4,81.0,-10,,
HCC2846,HCC2846,Urinary Bladder,Carcinoma Transitional Cell,Female,Unknown,71,Years,Adult,UTSW,0,1,1,6,0,71.0,-10,,
Hs 789.T,Hs 789.T,Urinary Bladder,Carcinoma Transitional Cell,Female,Caucasian,67,Years,Adult,ATCC,0,1,1,5,0,67.0,-10,,
HT-1376,HT-1376,Urinary Bladder,Carcinoma,Female,Caucasian,58,Years,Adult,ECACC,0,1,1,5,0,58.0,-10,,
RT-112,RT-112,Urinary Bladder,Carcinoma Transitional Cell,Female,Unknown,Unknown,Unknown,Unknown,DSMZ,0,1,1,6,0,-10.0,-10,,
SW 1710,SW 1710,Urinary Bladder,Carcinoma Transitional Cell,Female,Caucasian,84,Years,Adult,DSMZ,0,1,1,5,0,84.0,-10,,
SW 780,SW 780,Urinary Bladder,Carcinoma Transitional Cell,Female,Caucasian,80,Years,Adult,ATCC,0,1,1,5,0,80.0,-10,,
T24,T24,Urinary Bladder,Carcinoma,Female,Caucasian,81,Years,Adult,ATCC,Parental,1,1,5,4,81.0,-10,,
T24/83,T24/83,Urinary Bladder,Carcinoma,Female,Caucasian,81,Years,Adult,ECACC,Derivative Line,1,1,5,2,81.0,-10,,
TCCSUP,TCCSUP,Urinary Bladder,Carcinoma Transitional Cell,Female,Unknown,67,Years,Adult,ATCC,0,1,1,6,0,67.0,-10,,
U-BLC1,U-BLC1,Urinary Bladder,Carcinoma Transitional Cell,Female,Unknown,Unknown,Unknown,Unknown,ECACC,0,1,1,6,0,-10.0,-10,,
UM-UC-4,UM-UC-4,Urinary Bladder,Adenocarcinoma,Female,Unknown,Unknown,Unknown,Unknown,ECACC,0,1,1,6,0,-10.0,-10,,
AN3 CA,AN3 CA,Uterus,Adenocarcinoma,Female,Caucasian,55,Years,Adult,ATCC,0,1,1,5,0,55.0,-10,,
COLO 684,COLO 684,Uterus,Adenocarcinoma,Female,Unknown,63,Years,Adult,ECACC,Contaminant,1,1,6,1,63.0,-10,,
COLO 685,COLO 684,Uterus,Adenocarcinoma,Female,Unknown,63,Years,Adult,ECACC,Contaminant,1,1,6,1,63.0,-10,,
ECC-1,ECC-1,Uterus,Adenocarcinoma,Female,Unknown,39,Years,Adult,ATCC,Contaminant? Requires determination of provenance.,1,1,6,1,39.0,-10,,
EFE-184,EFE-184,Uterus,Carcinoma,Female,Caucasian,69,Years,Adult,DSMZ,0,1,1,5,0,69.0,-10,,
EN,EN,Uterus,Carcinoma,Female,Japanese,50,Years,Adult,DSMZ,0,1,1,1,0,50.0,-10,,
ESS-1,ESS-1,Uterus,Sarcoma,Female,Caucasian,76,Years,Adult,DSMZ,0,1,1,5,0,76.0,-10,,
HCC1106,HCC1106,Uterus,Carcinoma,Female,African,61,Years,Adult,UTSW,0,1,1,2,0,61.0,-10,,
HCC1354,HCC1354,Uterus,Carcinoma,Female,Unknown,75,Years,Adult,UTSW,0,1,1,6,0,75.0,-10,,
HCC1482,HCC1482,Uterus,Adenocarcinoma,Female,Caucasian,62,Years,Adult,UTSW,0,1,1,5,0,62.0,-10,,
HCC1688,HCC1688,Uterus,Leiomyosarcoma,Female,African,60,Years,Adult,UTSW,0,1,1,2,0,60.0,-10,,
HCC1972,HCC1972,Uterus,Endometriosis,Female,Caucasian,54,Years,Adult,UTSW,0,1,1,5,0,54.0,-10,,
HCC597,HCC597,Uterus,Carcinoma,Female,Caucasian,64,Years,Adult,UTSW,0,1,1,5,0,64.0,-10,,
HEC-1,HEC-1,Uterus,Adenocarcinoma Endometrioid,Female,Unknown,71,Years,Adult,JCRB,Derivative Line,1,1,6,2,71.0,-10,,
HEC-1-A,HEC-1,Uterus,Adenocarcinoma,Female,Unknown,71,Years,Adult,ATCC,Derivative Line,1,1,6,2,71.0,-10,,
HEC-1-B,HEC-1,Uterus,Adenocarcinoma Endometrioid,Female,Unknown,71,Years,Adult,ATCC,Derivative Line,1,1,6,2,71.0,-10,,
HEC-108,HEC-108,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB,0,1,1,1,0,-10.0,-10,,
HEC-116,HEC-116,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB,0,1,1,1,0,-10.0,-10,,
HEC-151,HEC-151,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB,0,1,1,1,0,-10.0,-10,,
HEC-251,HEC-251,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB,0,1,1,1,0,-10.0,-10,,
HEC-265,HEC-265,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB,0,1,1,1,0,-10.0,-10,,
HEC-50B,HEC-50B,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB,0,1,1,1,0,-10.0,-10,,
HEC-59,HEC-59,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB,0,1,1,1,0,-10.0,-10,,
HEC-6,HEC-6,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,Unknown,Unknown,Unknown,JCRB,0,1,1,1,0,-10.0,-10,,
HHUA,HHUA,Uterus,Unknown,Female,Japanese,54,Years,Adult,RIKEN,0,1,1,1,0,54.0,-10,,
HOEF,HOEF,Uterus,Normal,Female,Japanese,31,Years,Adult,RIKEN,0,1,1,1,0,31.0,-10,,
HOUA-I,HOUA-I,Uterus,Adenocarcinoma,Female,Unknown,55,Years,Adult,RIKEN,0,1,1,6,0,55.0,-10,,
HTMMT,HTMMT,Uterus,Unknown,Female,Unknown,66,Years,Adult,RIKEN,0,1,1,6,0,66.0,-10,,
Ishikawa,Ishikawa,Uterus,Adenocarcinoma,Female,Unknown,39,Years,Adult,ECACC,Parental,1,1,6,4,39.0,-10,,
JHUAS-1,JHUAS-1,Uterus,Carcinoma Adenosquamous,Female,Japanese,56,Years,Adult,RIKEN,0,1,1,1,0,56.0,-10,,
JHUAS-2-L,JHUAS-2-L,Uterus,Carcinoma Adenosquamous,Female,Japanese,Unknown,Unknown,Unknown,RIKEN,0,1,1,1,0,-10.0,-10,,
JHUCS-1,JHUCS-1,Uterus,Carcinoma,Female,Japanese,56,Years,Adult,RIKEN,0,1,1,1,0,56.0,-10,,
JHUEM-1,JHUEM-1,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,56,Years,Adult,RIKEN,0,1,1,1,0,56.0,-10,,
JHUEM-14,JHUEM-14,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,44,Years,Adult,RIKEN,0,1,1,1,0,44.0,-10,,
JHUEM-2,JHUEM-2,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,62,Years,Adult,RIKEN,0,1,1,1,0,62.0,-10,,
JHUEM-3,JHUEM-3,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,60,Years,Adult,RIKEN,0,1,1,1,0,60.0,-10,,
JHUEM-7,JHUEM-7,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,58,Years,Adult,RIKEN,0,1,1,1,0,58.0,-10,,
KLE,KLE,Uterus,Adenocarcinoma,Female,Caucasian,64,Years,Adult,ATCC,0,1,1,5,0,64.0,-10,,
MES-SA,MES-SA,Uterus,Sarcoma,Female,Caucasian,56,Years,Adult,ATCC,0,1,1,5,0,56.0,-10,,
MFE-280,MFE-280,Uterus,Adenocarcinoma Endometrioid,Female,Unknown,77,Years,Adult,DSMZ,0,1,1,6,0,77.0,-10,,
MFE-296,MFE-296,Uterus,Adenocarcinoma Endometrioid,Female,Caucasian,68,Years,Adult,DSMZ,0,1,1,5,0,68.0,-10,,
MFE-319,MFE-319,Uterus,Adenocarcinoma Endometrioid,Female,Unknown,81,Years,Adult,DSMZ,0,1,1,6,0,81.0,-10,,
NJG,NJG,Uterus,Choriocarcinoma,Female,Unknown,Unknown,Unknown,Unknown,JCRB,0,1,1,6,0,-10.0,-10,,
OMC-2,OMC-2,Uterus,Adenocarcinoma,Female,Japanese,59,Years,Adult,RIKEN,0,1,1,1,0,59.0,-10,,
OMC-9,OMC-9,Uterus,Sarcoma Stromal,Female,Japanese,55,Years,Adult,RIKEN,0,1,1,1,0,55.0,-10,,
RL95-2,RL95-2,Uterus,Carcinoma,Female,Caucasian,65,Years,Adult, --,0,1,1,5,0,65.0,-10,,
Sawano,Sawano,Uterus,Normal,Female,Japanese,67,Years,Adult,RIKEN,0,1,1,1,0,67.0,-10,,
SK-UT-1,SK-UT-1,Uterus,Leiomyosarcoma,Female,Caucasian,75,Years,Adult,ATCC,0,1,1,5,0,75.0,-10,,
SK-UT-1B,SK-UT-1B,Uterus,Leiomyosarcoma,Female,Caucasian,75,Years,Adult,ATCC,0,1,1,5,0,75.0,-10,,
SKN,SKN,Uterus,Leiomyosarcoma,Female,Unknown,Unknown,Unknown,Unknown,JCRB,0,1,1,6,0,-10.0,-10,,
SNG-II,SNG-II,Uterus,Adenocarcinoma Endometrioid,Female,Unknown,43,Years,Adult,JCRB,Parental,1,1,6,4,43.0,-10,,
SNG-M,SNG-M,Uterus,Adenocarcinoma Endometrioid,Female,Japanese,52,Years,Adult,JCRB,0,1,1,1,0,52.0,-10,,
TEN,TEN,Uterus,Clear cell carcinoma,Female,Japanese,74,Years,Adult,RIKEN,0,1,1,1,0,74.0,-10,,
TOM-2,TOM-2,Uterus,Carcinoma,Female,Japanese,27,Years,Adult,RIKEN,0,1,1,1,0,27.0,-10,,
HOUFXXX,HOUFXXX,Vagina,Normal,Female,Unknown,32,Years,Adult,RIKEN,0,1,1,6,0,32.0,-10,,
SK-LMS-1,SK-LMS-1,Vulva,Leiomyosarcoma,Female,Caucasian,43,Years,Adult,ATCC,0,1,1,5,0,43.0,-10,,
SW 954,SW 954,vulva,Carcinoma Squamous Cell,Female,Caucasian,86,Years,Adult,ATCC,0,1,1,5,0,86.0,-10,,
SW 962,SW 962,Vulva,Carcinoma,Female,Caucasian,64,Years,Adult,ATCC,0,1,1,5,0,64.0,-10,,
HCC653,HCC653,Adrenal,Carcinoma,Male,Caucasian,67,Years,Adult,UTSW,0,1,2,5,0,67.0,-10,,
HSNB,HSNB,Adrenal,Normal,Male,Unknown,9,Months,Juvenile,RIKEN,0,1,2,6,0,0.8,-10,,
MEN2RGB,MEN2RGB,Adrenal,Unknown,Male,Japanese,69,Years,Adult,RIKEN,0,1,2,1,0,69.0,-10,,
TN-1,TN-1,Adrenal,Neuroblastoma,male,Unknown,2,Years,Juvenile,RIKEN,0,1,2,6,0,2.0,-10,,
EGI-1,EGI-1,Bile Duct,Carcinoma,Male,Caucasian,52,Years,Adult,DSMZ,0,1,2,5,0,52.0,-10,,
OZ,OZ,Bile Duct,Carcinoma,Male,Japanese,71,Years,Adult,JCRB,0,1,2,1,0,71.0,-10,,
TFK-1,TFK-1,Bile Duct,Carcinoma,Male,Japanese,63,Years,Adult,DSMZ,0,1,2,1,0,63.0,-10,,
5637,5637,Bladder,Carcinoma,Male,Caucasian,68,Years,Adult,ATCC,0,1,2,5,0,68.0,-10,,
1A6,1A6,Bladder,Carcinoma,Male,Caucasian,68,Years,Adult,ATCC,0,1,2,5,0,68.0,-10,,
647-V,647-V,Bladder,Carcinoma,Male,Unknown,Unknown,Unknown,Unknown,DSMZ,Parental,1,2,6,4,-10.0,-10,,
BOY-12E,BOY-12E,Bladder,Carcinoma,Male,Japanese,66,Years,Adult,RIKEN,0,1,2,1,0,66.0,-10,,
Hs 172.T,Hs 172.T,Bladder,Carcinoma,Male,Caucasian,50,Years,Adult,ATCC,0,1,2,5,0,50.0,-10,,
HT-1197,HT-1197,Bladder,Carcinoma,Male,Caucasian,44,Years,Adult,ECACC,0,1,2,5,0,44.0,-10,,
J82,J82,Bladder,Carcinoma Transitional Cell,Male,Caucasian,58,Years,Adult,ATCC,Parental,1,2,5,4,58.0,-10,,
SCaBER,SCaBER,Bladder,Carcinoma Squamous Cell,Male,African,58,Years,Adult,ATCC,0,1,2,2,0,58.0,-10,,
380,380,Blood,Leukemia Acute Lymphocytic,Male,Unknown,15,Years,Juvenile,DSMZ,0,1,2,6,0,15.0,-10,,
697,697,Blood,Leukemia Acute Lymphocytic,Male,Unknown,12,Years,Juvenile,DSMZ,0,1,2,6,0,12.0,-10,,
1G2,1G2,Blood,Malignant Lymphoma - Burkitts Type,Male,African,7,Years,Juvenile,ATCC,Derivative Line,1,2,2,2,7.0,-10,,
20B8,1G2,Blood,Malignant Lymphoma - Burkitts Type,Male,African,7,Years,Juvenile,ATCC,Derivative Line,1,2,2,2,7.0,-10,,
211-LCL,211-LCL,Blood,Normal,male,Unknown,Unknown,Unknown,Unknown,RIKEN,0,1,2,6,0,-10.0,-10,,
277-LCL,277-LCL,Blood,Normal,male,Unknown,Unknown,Unknown,Unknown,RIKEN,0,1,2,6,0,-10.0,-10,,
2B8,HS-Sultan,Blood,Malignant Lymphoma - Burkitts Type,Male,African,7,Years,Juvenile,ATCC,Contaminant,1,2,2,1,7.0,-10,,
2B8,1G2,Blood,Malignant Lymphoma - Burkitts Type,Male,African,7,Years,Juvenile,ATCC,Derivative Line,1,2,2,2,7.0,-10,,
701-LCL,701-LCL,Blood,Normal,male,Unknown,Unknown,Unknown,Unknown,RIKEN,0,1,2,6,0,-10.0,-10,,
A-THP-1,THP-1,Blood,Leukemia Acute Myelogenous,Male,Unknown,1,Years,Juvenile,RIKEN,Parental,1,2,6,4,1.0,-10,,
A0058,A0058,Blood,Normal,Male,Japanese,44,Years,Adult,RIKEN,0,1,2,1,0,44.0,-10,,
A3,A3,Blood,Leukemia Acute Lymphocytic,Male,Unknown,Unknown,Unknown,Unknown,ATCC,Derivative Line,1,2,6,2,-10.0,-10,,
AGLCL,AGLCL,Blood,Normal,Male,Caucasian,72,Years,Adult,ECACC,0,1,2,5,0,72.0,-10,,
AHH-1,AHH-1,Blood,Normal,Male,Caucasian,33,Years,Adult,ATCC,Contaminant? Requires determination of provenance.,1,2,5,1,33.0,-10,,
ALL-SIL,ALL-SIL,Blood,Leukemia,Male,Unknown,17,Years,Juvenile,DSMZ,0,1,2,6,0,17.0,-10,,
AML14.3D10/CCCKR3 Clone 16,AML14.3D10/CCCKR3 Clone 16,Blood,Normal,Male,Unknown,68,Years,Adult,ATCC,0,1,2,6,0,68.0,-10,,
Amsalem,HD-Mar2,Blood,Leukemia,Male,Unknown,20,Years,Adult, --,Contaminant? Requires determination of provenance.,1,2,6,1,20.0,-10,,
AP-1060,AP-1060,Blood,Leukemia Acute Myelogenous,Male,Unknown,45,Years,Adult,DSMZ,0,1,2,6,0,45.0,-10,,
AT(L)6KY,AT(L)6KY,Blood,Normal,Male,Unknown,8,Years,Juvenile,JCRB,0,1,2,6,0,8.0,-10,,
AT(L)7KY,AT(L)7KY,Blood,Normal,Male,Unknown,3,Years,Juvenile,JCRB,0,1,2,6,0,3.0,-10,,
ATN-1,ATN-1,Blood,Leukemia Acute Myelogenous,Male,Unknown,47,Years,Adult,RIKEN,0,1,2,6,0,47.0,-10,,
B0006,B0006,Blood,Normal,Male,Japanese,41,Years,Adult,RIKEN,0,1,2,1,0,41.0,-10,,
B0031,B0031,Blood,Normal,Male,Japanese,37,Years,Adult,RIKEN,0,1,2,1,0,37.0,-10,,
B0042,B0042,Blood,Normal,Male,Japanese,53,Years,Adult,RIKEN,0,1,2,1,0,53.0,-10,,
B0055,B0055,Blood,Normal,Male,Japanese,51,Years,Adult,RIKEN,0,1,2,1,0,51.0,-10,,
B0058,B0058,Blood,Normal,Male,Japanese,44,Years,Adult,RIKEN,0,1,2,1,0,44.0,-10,,
B0078,B0078,Blood,Normal,Male,Japanese,59,Years,Adult,RIKEN,0,1,2,1,0,59.0,-10,,
B0082,B0082,Blood,Normal,Male,Japanese,70,Years,Adult,RIKEN,0,1,2,1,0,70.0,-10,,
B0090,B0090,Blood,Normal,Male,Japanese,29,Years,Adult,RIKEN,0,1,2,1,0,29.0,-10,,
BC-1,BC-1,Blood,Lymphoma,Male,Unknown,46,Years,Adult,ATCC,0,1,2,6,0,46.0,-10,,
BC-2,BC-2,Blood,Lymphoma,Male,Caucasian,31,Years,Adult,ATCC,0,1,2,5,0,31.0,-10,,
BC-3,BC-3,Blood,Lymphoma,Male,Caucasian,85,Years,Adult,ATCC,0,1,2,5,0,85.0,-10,,
BCP-1,BCP-1,Blood,Lymphoma,Male,Unknown,92,Years,Adult,ATCC,0,1,2,6,0,92.0,-10,,
BD-215,BD-215,Blood,Fanconi anemia,Male,Caucasian,Unknown,Unknown,Unknown,DSMZ,0,1,2,5,0,-10.0,-10,,
